%time,field.data
1631034878100373299,SP1
1631034878101735939,SP1
1631034878102462382,SP1
1631034878103173876,SP1
1631034878103933745,SP1
1631034878104591521,SP1
1631034878105252832,SP1
1631034878105956662,SP1
1631034878106732649,SP1
1631034878107306893,SP1
1631034878107876125,SP1
1631034878108414773,SP1
1631034878108922919,SP1
1631034878109449868,SP1
1631034878109977091,SP1
1631034878110476282,SP1
1631034878111012432,SP1
1631034878111553699,SP1
1631034878112008768,SP1
1631034878112376444,SP1
1631034878132369347,SP1
1631034878133208117,SP1
1631034878134043200,SP2
1631034878134846700,SP2
1631034878135604342,SP2
1631034878136368400,SP2
1631034878137096412,SP2
1631034878137912045,SP2
1631034878138719531,SP2
1631034878139562448,SP2
1631034878140339083,SP2
1631034878141098012,SP2
1631034878141857004,SP2
1631034878142647856,SP2
1631034878143466300,SP2
1631034878144228482,SP2
1631034878145004138,SP2
1631034878145797996,SP2
1631034878146549911,SP2
1631034878147145342,SP2
1631034878147676979,SP2
1631034878148285951,SP2
1631034878148886909,SP2
1631034878149511565,SP2
1631034878150118125,SP3
1631034878150682400,SP3
1631034878151260275,SP3
1631034878151833691,SP3
1631034878152284827,SP3
1631034878152751424,SP3
1631034878153251989,SP3
1631034878153728585,SP3
1631034878154143268,SP3
1631034878154556100,SP3
1631034878154969772,SP3
1631034878155377649,SP3
1631034878155794409,SP3
1631034878156217107,SP3
1631034878156599174,SP3
1631034878156973506,SP3
1631034878157312094,SP3
1631034878157656812,SP3
1631034878157985060,SP3
1631034878158328495,SP3
1631034878158669739,SP3
1631034878159016521,SP3
1631034878159352610,SP4
1631034878159684261,SP4
1631034878160037471,SP4
1631034878160369456,SP4
1631034878160699275,SP4
1631034878161027617,SP4
1631034878161357472,SP4
1631034878161713104,SP4
1631034878162008945,SP4
1631034878162284550,SP4
1631034878162563352,SP4
1631034878162839789,SP4
1631034878163111940,SP4
1631034878163385758,SP4
1631034878163664484,SP4
1631034878170060389,SP4
1631034878170336953,SP4
1631034878170593830,SP4
1631034878170845852,SP4
1631034878171095818,SP4
1631034878171351488,SP4
1631034878171603423,SP4
1631034878171866874,SP5
1631034878172246885,SP5
1631034878172449173,SP5
1631034878172669485,SP5
1631034878172886956,SP5
1631034878173109022,SP5
1631034878173337510,SP5
1631034878173553067,SP5
1631034878173764171,SP5
1631034878173988863,SP5
1631034878174212639,SP5
1631034878174417373,SP5
1631034878174641760,SP5
1631034878174865780,SP5
1631034878175100467,SP5
1631034878175327499,SP5
1631034878175550259,SP5
1631034878175752292,SP5
1631034878175989234,SP5
1631034878176213165,SP5
1631034878176422738,SP5
1631034878176649715,SP5
1631034878176862576,1
1631034878177065136,1
1631034878177267231,1
1631034878177498334,1
1631034878177676097,1
1631034878177877291,1
1631034878178086819,1
1631034878178290757,1
1631034878178476983,1
1631034878178672880,1
1631034878178878159,1
1631034878179080209,1
1631034878179258373,1
1631034878179439481,1
1631034878179649267,1
1631034878179859295,1
1631034878180060720,1
1631034878180283834,1
1631034878180497107,1
1631034878180692824,1
1631034878180897017,1
1631034878181096473,1
1631034878181302574,2
1631034878181502363,2
1631034878181718958,2
1631034878181903560,2
1631034878182097533,2
1631034878182276523,2
1631034878182462019,2
1631034878182649372,2
1631034878182833758,2
1631034878183018974,2
1631034878183204697,2
1631034878183390330,2
1631034878183576227,2
1631034878183770378,2
1631034878183969638,2
1631034878184124965,2
1631034878184313768,2
1631034878184499785,2
1631034878184684889,2
1631034878184881385,2
1631034878185067746,2
1631034878185261140,2
1631034878185464721,3
1631034878185642441,3
1631034878185836456,3
1631034878186024102,3
1631034878186211849,3
1631034878186421992,3
1631034878186593797,3
1631034878186759159,3
1631034878186938300,3
1631034878187117036,3
1631034878187301119,3
1631034878187486789,3
1631034878187686413,3
1631034878187886944,3
1631034878188056184,3
1631034878188212754,3
1631034878188386869,3
1631034878188549865,3
1631034878188719278,3
1631034878189222964,3
1631034878189383483,3
1631034878189562322,3
1631034878189757518,4
1631034878189946156,4
1631034878190130275,4
1631034878190286923,4
1631034878190473175,4
1631034878190639040,4
1631034878190828809,4
1631034878191020092,4
1631034878191220183,4
1631034878191407896,4
1631034878191594886,4
1631034878191781505,4
1631034878191978670,4
1631034878192143988,4
1631034878192331906,4
1631034878192518994,4
1631034878192688906,4
1631034878192867178,4
1631034878193046333,4
1631034878193210290,4
1631034878193388828,4
1631034878193610718,4
1631034878193802781,5
1631034878193987193,5
1631034878194174953,5
1631034878194355856,5
1631034878194539787,5
1631034878194730199,5
1631034878194918369,5
1631034878195100544,5
1631034878195276344,5
1631034878195465164,5
1631034878195645614,5
1631034878195840500,5
1631034878196033371,5
1631034878196218072,5
1631034878196404700,5
1631034878196591488,5
1631034878196779809,5
1631034878196965836,5
1631034878197113232,5
1631034878197299591,5
1631034878197479358,5
1631034878197668568,5
1631034878197862869,6
1631034878198049866,6
1631034878198237165,6
1631034878198428017,6
1631034878198614710,6
1631034878198798776,6
1631034878198984115,6
1631034878199167278,6
1631034878199352777,6
1631034878199531675,6
1631034878199713799,6
1631034878199898344,6
1631034878200079323,6
1631034878200254975,6
1631034878200431500,6
1631034878200606405,6
1631034878200784510,6
1631034878200961692,6
1631034878201136932,6
1631034878216634995,6
1631034878216811005,6
1631034878217004936,6
1631034878217207214,7
1631034878217372110,7
1631034878217581830,7
1631034878217765661,7
1631034878217957328,7
1631034878218147800,7
1631034878218340217,7
1631034878218519715,7
1631034878218708014,7
1631034878218864961,7
1631034878219045880,7
1631034878219231305,7
1631034878219422880,7
1631034878219610967,7
1631034878219786146,7
1631034878220013153,7
1631034878220200786,7
1631034878220394089,7
1631034878220565910,7
1631034878220757520,7
1631034878220946926,7
1631034878221134906,7
1631034878221323822,8
1631034878221513096,8
1631034878221698198,8
1631034878221876257,8
1631034878222060859,8
1631034878222245992,8
1631034878222434785,8
1631034878222624219,8
1631034878222809353,8
1631034878222992186,8
1631034878223174002,8
1631034878223358999,8
1631034878223528668,8
1631034878223714697,8
1631034878223902320,8
1631034878224070308,8
1631034878224255497,8
1631034878224441617,8
1631034878224626150,8
1631034878224813293,8
1631034878224999155,8
1631034878225172753,8
1631034878225369872,9
1631034878225539411,9
1631034878225729938,9
1631034878225922993,9
1631034878226099307,9
1631034878226263690,9
1631034878226419750,9
1631034878226600802,9
1631034878226787793,9
1631034878226973792,9
1631034878227161345,9
1631034878227330233,9
1631034878227518331,9
1631034878227706862,9
1631034878227896164,9
1631034878228076733,9
1631034878228260482,9
1631034878228451579,9
1631034878228636791,9
1631034878228824816,9
1631034878229009929,9
1631034878229198390,9
1631034878229385052,10
1631034878229561043,10
1631034878229734554,10
1631034878229912661,10
1631034878230102137,10
1631034878230284573,10
1631034878230481574,10
1631034878230672398,10
1631034878230863047,10
1631034878231059203,10
1631034878231237422,10
1631034878231428933,10
1631034878231617714,10
1631034878231804004,10
1631034878231971128,10
1631034878232146316,10
1631034878232337766,10
1631034878232530333,10
1631034878232708924,10
1631034878232897319,10
1631034878233083413,10
1631034878233274087,10
1631034878233483786,11
1631034878233643554,11
1631034878233830496,11
1631034878234018092,11
1631034878234204334,11
1631034878234387964,11
1631034878234576642,11
1631034878234767825,11
1631034878234955099,11
1631034878235145079,11
1631034878235329356,11
1631034878235518332,11
1631034878235678271,11
1631034878235870741,11
1631034878236050211,11
1631034878236257852,11
1631034878236445571,11
1631034878236635523,11
1631034878236814437,11
1631034878236997689,11
1631034878237176664,11
1631034878237364965,11
1631034878237548635,12
1631034878237712969,12
1631034878237903301,12
1631034878238084647,12
1631034878238241702,12
1631034878238430369,12
1631034878238926582,12
1631034878239106704,12
1631034878239278607,12
1631034878239451801,12
1631034878239638151,12
1631034878239826732,12
1631034878239984109,12
1631034878240152766,12
1631034878240339048,12
1631034878240507398,12
1631034878240691357,12
1631034878240872961,12
1631034878241047438,12
1631034878241210459,12
1631034878241405779,12
1631034878241621712,12
1631034878241821251,13
1631034878242012302,13
1631034878242199214,13
1631034878242371535,13
1631034878242588727,13
1631034878242805270,13
1631034878242999173,13
1631034878243171087,13
1631034878243335460,13
1631034878243542484,13
1631034878243761710,13
1631034878243986187,13
1631034878244195823,13
1631034878244417183,13
1631034878244607983,13
1631034878244817106,13
1631034878245043242,13
1631034878245242126,13
1631034878245463738,13
1631034878245676721,13
1631034878245899736,13
1631034878246112440,13
1631034878246309841,14
1631034878246496763,14
1631034878246677363,14
1631034878246856217,14
1631034878247057356,14
1631034878247265833,14
1631034878247480965,14
1631034878247672899,14
1631034878247859939,14
1631034878248056692,14
1631034878265144313,14
1631034878265365062,14
1631034878265568075,14
1631034878265790644,14
1631034878266020634,14
1631034878266240167,14
1631034878266462127,14
1631034878266685504,14
1631034878266900997,14
1631034878267124407,14
1631034878267332703,14
1631034878267548496,14
1631034878267768809,15
1631034878267970622,15
1631034878268193651,15
1631034878268417067,15
1631034878268643283,15
1631034878268863860,15
1631034878269090901,15
1631034878269264601,15
1631034878269454132,15
1631034878269622250,15
1631034878269847378,15
1631034878270069586,15
1631034878270266829,15
1631034878270481930,15
1631034878270707946,15
1631034878270925525,15
1631034878271136873,15
1631034878271336274,15
1631034878271523610,15
1631034878271708373,15
1631034878271897983,15
1631034878272105247,15
1631034878272320826,16
1631034878272539561,16
1631034878272756212,16
1631034878272965741,16
1631034878273187424,16
1631034878273423350,16
1631034878273623357,16
1631034878273815479,16
1631034878274005730,16
1631034878274192751,16
1631034878274376533,16
1631034878274542002,16
1631034878274732830,16
1631034878274918400,16
1631034878275109990,16
1631034878275293116,16
1631034878275480059,16
1631034878275665722,16
1631034878275864051,16
1631034878276048777,16
1631034878276236618,16
1631034878276424600,16
1631034878276594067,17
1631034878276782062,17
1631034878276969556,17
1631034878277150777,17
1631034878277320961,17
1631034878277502463,17
1631034878277694274,17
1631034878277879246,17
1631034878278066420,17
1631034878278249035,17
1631034878278432498,17
1631034878278618124,17
1631034878278809960,17
1631034878278997442,17
1631034878279161678,17
1631034878279319497,17
1631034878279507157,17
1631034878279695066,17
1631034878279887404,17
1631034878280098082,17
1631034878280286669,17
1631034878280473918,17
1631034878280662281,18
1631034878280851941,18
1631034878281024384,18
1631034878281211019,18
1631034878281408407,18
1631034878281600289,18
1631034878281788863,18
1631034878281949074,18
1631034878282139124,18
1631034878282332988,18
1631034878282504772,18
1631034878282690893,18
1631034878282871858,18
1631034878283049661,18
1631034878283238329,18
1631034878283426611,18
1631034878283612942,18
1631034878283781490,18
1631034878283973872,18
1631034878284161246,18
1631034878284349028,18
1631034878284535839,18
